C:\Users\30264\.conda\envs\pytorch\python.exe C:\Users\30264\PycharmProjects\pythonProject\Dian\Project-01\01.py 
开始训练，使用设备: cuda
C:\Users\30264\PycharmProjects\pythonProject\Dian\Project-01\01.py:411: UserWarning: Glyph 25439 (\N{CJK UNIFIED IDEOGRAPH-635F}) missing from current font.
  plt.tight_layout()
C:\Users\30264\PycharmProjects\pythonProject\Dian\Project-01\01.py:411: UserWarning: Glyph 22833 (\N{CJK UNIFIED IDEOGRAPH-5931}) missing from current font.
  plt.tight_layout()
C:\Users\30264\PycharmProjects\pythonProject\Dian\Project-01\01.py:411: UserWarning: Glyph 25351 (\N{CJK UNIFIED IDEOGRAPH-6307}) missing from current font.
  plt.tight_layout()
C:\Users\30264\PycharmProjects\pythonProject\Dian\Project-01\01.py:411: UserWarning: Glyph 26631 (\N{CJK UNIFIED IDEOGRAPH-6807}) missing from current font.
  plt.tight_layout()
C:\Users\30264\PycharmProjects\pythonProject\Dian\Project-01\01.py:411: UserWarning: Glyph 26354 (\N{CJK UNIFIED IDEOGRAPH-66F2}) missing from current font.
  plt.tight_layout()
C:\Users\30264\PycharmProjects\pythonProject\Dian\Project-01\01.py:411: UserWarning: Glyph 32447 (\N{CJK UNIFIED IDEOGRAPH-7EBF}) missing from current font.
  plt.tight_layout()
C:\Users\30264\PycharmProjects\pythonProject\Dian\Project-01\01.py:411: UserWarning: Glyph 27979 (\N{CJK UNIFIED IDEOGRAPH-6D4B}) missing from current font.
  plt.tight_layout()
C:\Users\30264\PycharmProjects\pythonProject\Dian\Project-01\01.py:411: UserWarning: Glyph 35797 (\N{CJK UNIFIED IDEOGRAPH-8BD5}) missing from current font.
  plt.tight_layout()
C:\Users\30264\PycharmProjects\pythonProject\Dian\Project-01\01.py:411: UserWarning: Glyph 20934 (\N{CJK UNIFIED IDEOGRAPH-51C6}) missing from current font.
  plt.tight_layout()
C:\Users\30264\PycharmProjects\pythonProject\Dian\Project-01\01.py:411: UserWarning: Glyph 30830 (\N{CJK UNIFIED IDEOGRAPH-786E}) missing from current font.
  plt.tight_layout()
C:\Users\30264\PycharmProjects\pythonProject\Dian\Project-01\01.py:411: UserWarning: Glyph 29575 (\N{CJK UNIFIED IDEOGRAPH-7387}) missing from current font.
  plt.tight_layout()
C:\Users\30264\PycharmProjects\pythonProject\Dian\Project-01\01.py:412: UserWarning: Glyph 35757 (\N{CJK UNIFIED IDEOGRAPH-8BAD}) missing from current font.
  plt.savefig(f'{title.replace(" ", "_")}_metrics.png')
